"","gene","GO"
"24","1021_at","GO:0000122;GO:0001774;GO:0001774;GO:0001819;GO:0001934;GO:0002250;GO:0002281;GO:0006915;GO:0006959;GO:0007166;GO:0007259;GO:0008284;GO:0009615;GO:0010508;GO:0010628;GO:0010628;GO:0010628;GO:0010628;GO:0010628;GO:0010629;GO:0010629;GO:0010634;GO:0010835;GO:0030225;GO:0030857;GO:0031334;GO:0032700;GO:0032722;GO:0032731;GO:0032735;GO:0032747;GO:0032755;GO:0032760;GO:0032834;GO:0033141;GO:0033141;GO:0034393;GO:0042307;GO:0042531;GO:0045348;GO:0045429;GO:0045672;GO:0045821;GO:0045892;GO:0048143;GO:0048143;GO:0048662;GO:0050729;GO:0050766;GO:0050769;GO:0050796;GO:0051044;GO:0051173;GO:0051607;GO:0051712;GO:0051770;GO:0060333;GO:0060333;GO:0060550;GO:0060552;GO:0060557;GO:0060559;GO:0071902;GO:0090312;GO:0097191;GO:0098586;GO:0150076;GO:1900222;GO:1901216;GO:1901857;GO:1902004;GO:1902004;GO:1902948;GO:1903078;GO:1903543;GO:1904440;GO:1904783;GO:1904798;GO:2000273;GO:2000309;GO:0005576;GO:0005576;GO:0005615;GO:0005125;GO:0005133;GO:0005515"
"25","1022_f_at","GO:0002250;GO:0002286;GO:0002323;GO:0006959;GO:0019221;GO:0030183;GO:0033141;GO:0042100;GO:0043330;GO:0051607;GO:0060337;GO:0098586;GO:0005576;GO:0005615;GO:0005125;GO:0005126;GO:0005132;GO:0005515"
"26","1023_at","GO:0000122;GO:0001666;GO:0006953;GO:0007165;GO:0007566;GO:0007568;GO:0008015;GO:0008284;GO:0008284;GO:0009651;GO:0010523;GO:0010976;GO:0018105;GO:0030218;GO:0030218;GO:0032147;GO:0032496;GO:0033028;GO:0033189;GO:0033574;GO:0038162;GO:0038162;GO:0042104;GO:0042531;GO:0042541;GO:0043249;GO:0043627;GO:0045666;GO:0045893;GO:0046579;GO:0046579;GO:0048678;GO:0051602;GO:0055093;GO:0070374;GO:0070555;GO:0071474;GO:0071548;GO:1901215;GO:1902219;GO:1902251;GO:2001258;GO:0005576;GO:0005615;GO:0005615;GO:0009986;GO:0044297;GO:0005125;GO:0005125;GO:0005128;GO:0005128;GO:0005179;GO:0005515;GO:0030295"
"27","1024_at","GO:0001666;GO:0001676;GO:0002933;GO:0006306;GO:0006631;GO:0006694;GO:0006778;GO:0006805;GO:0007568;GO:0008202;GO:0008210;GO:0008283;GO:0009308;GO:0009611;GO:0009615;GO:0009624;GO:0009635;GO:0009692;GO:0009804;GO:0009812;GO:0010041;GO:0017143;GO:0019341;GO:0019373;GO:0032094;GO:0032496;GO:0033189;GO:0035902;GO:0042359;GO:0042572;GO:0042572;GO:0042759;GO:0042904;GO:0043010;GO:0046677;GO:0046685;GO:0048565;GO:0050665;GO:0055093;GO:0060137;GO:0070365;GO:0071280;GO:0071407;GO:0097267;GO:1900087;GO:0005743;GO:0005789;GO:0043231;GO:0004497;GO:0004497;GO:0005506;GO:0005515;GO:0008391;GO:0016491;GO:0016679;GO:0016711;GO:0019825;GO:0019899;GO:0020037;GO:0030544;GO:0032451;GO:0051879;GO:0070330;GO:0070576;GO:0101020;GO:0101021;GO:0102033;GO:0106256;GO:0120319"
"28","1025_g_at","GO:0001666;GO:0001676;GO:0002933;GO:0006306;GO:0006631;GO:0006694;GO:0006778;GO:0006805;GO:0007568;GO:0008202;GO:0008210;GO:0008283;GO:0009308;GO:0009611;GO:0009615;GO:0009624;GO:0009635;GO:0009692;GO:0009804;GO:0009812;GO:0010041;GO:0017143;GO:0019341;GO:0019373;GO:0032094;GO:0032496;GO:0033189;GO:0035902;GO:0042359;GO:0042572;GO:0042572;GO:0042759;GO:0042904;GO:0043010;GO:0046677;GO:0046685;GO:0048565;GO:0050665;GO:0055093;GO:0060137;GO:0070365;GO:0071280;GO:0071407;GO:0097267;GO:1900087;GO:0005743;GO:0005789;GO:0043231;GO:0004497;GO:0004497;GO:0005506;GO:0005515;GO:0008391;GO:0016491;GO:0016679;GO:0016711;GO:0019825;GO:0019899;GO:0020037;GO:0030544;GO:0032451;GO:0051879;GO:0070330;GO:0070576;GO:0101020;GO:0101021;GO:0102033;GO:0106256;GO:0120319"
"29","1026_s_at","GO:0001501;GO:0001501;GO:0007605;GO:0007605;GO:0030198;GO:0030199;GO:0030199;GO:0051216;GO:0051216;GO:0060021;GO:0060023;GO:0005576;GO:0005581;GO:0005592;GO:0005592;GO:0005615;GO:0005788;GO:0031012;GO:0062023;GO:0062023;GO:0005201;GO:0005515;GO:0030020;GO:0030020;GO:0030020;GO:0030674;GO:0046872"
"30","1027_at","GO:0001501;GO:0001501;GO:0007605;GO:0007605;GO:0030198;GO:0030199;GO:0030199;GO:0051216;GO:0051216;GO:0060021;GO:0060023;GO:0005576;GO:0005581;GO:0005592;GO:0005592;GO:0005615;GO:0005788;GO:0031012;GO:0062023;GO:0062023;GO:0005201;GO:0005515;GO:0030020;GO:0030020;GO:0030020;GO:0030674;GO:0046872"
"31","1028_at","GO:0000724;GO:0006265;GO:0006265;GO:0032042;GO:0051304;GO:0051321;GO:0071139;GO:0005634;GO:0005634;GO:0005654;GO:0005759;GO:0016605;GO:0031422;GO:0003677;GO:0003697;GO:0003916;GO:0003917;GO:0005515;GO:0008270"
"32","1029_s_at","GO:0001819;GO:0002250;GO:0002250;GO:0006468;GO:0007202;GO:0007229;GO:0010468;GO:0010543;GO:0018108;GO:0032729;GO:0042246;GO:0045944;GO:0046777;GO:0050852;GO:0050852;GO:0060335;GO:0005634;GO:0005737;GO:0005886;GO:0004713;GO:0004715;GO:0005515;GO:0005524"
"33","102_at","GO:0006468;GO:0006915;GO:0009299;GO:0018105;GO:0018105;GO:0018107;GO:0018107;GO:0018108;GO:0043066;GO:0043508;GO:0005634;GO:0005737;GO:0005829;GO:0005886;GO:0016604;GO:0016605;GO:0004672;GO:0004674;GO:0004674;GO:0004674;GO:0004713;GO:0005524;GO:0106310"
